fiscal_date,end_cash_position,income_tax_paid,interest_paid,free_cash_flow,operating_activities.net_income,operating_activities.depreciation,operating_activities.deferred_taxes,operating_activities.stock_based_compensation,operating_activities.other_non_cash_items,operating_activities.accounts_receivable,operating_activities.accounts_payable,operating_activities.other_assets_liabilities,operating_activities.operating_cash_flow,investing_activities.capital_expenditures,investing_activities.net_intangibles,investing_activities.net_acquisitions,investing_activities.purchase_of_investments,investing_activities.sale_of_investments,investing_activities.other_investing_activity,investing_activities.investing_cash_flow,financing_activities.long_term_debt_issuance,financing_activities.long_term_debt_payments,financing_activities.short_term_debt_issuance,financing_activities.common_stock_issuance,financing_activities.common_stock_repurchase,financing_activities.common_dividends,financing_activities.other_financing_charges,financing_activities.financing_cash_flow,symbol,name,currency,exchange,mic_code,exchange_timezone,period
2023-12-31,25427000000,6078000000,3035000000,25682000000,23144000000,3972000000,-245000000,1059000000,-505000000,-3114000000,3516000000,-2241000000,25586000000,-3386000000,,-10136000000,-18314000000,16537000000,-275000000,-15574000000,6394000000,-2125000000,11000000,1353000000,-8000000000,-6761000000,-2401000000,-11529000000,UNH,UnitedHealth Group Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,12419000000,,,6516000000,6411000000,580000000,73000000,254000000,1086000000,-88000000,26000000,688000000,9030000000,-339000000,,-989000000,-807000000,622000000,3000000,-1510000000,3959000000,0,,,-4473000000,-1605000000,-130000000,-2249000000,MA,Mastercard Inc,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,9902000000,,,8649000000,8687000000,726000000,-69000000,273000000,1407000000,-484000000,100000000,253000000,10893000000,-407000000,,-4436000000,-911000000,856000000,33000000,-4865000000,2024000000,-650000000,,,-5904000000,-1741000000,-345000000,-6616000000,MA,Mastercard Inc,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,9196000000,,,10098000000,9930000000,750000000,-651000000,295000000,1630000000,-469000000,190000000,243000000,11918000000,-442000000,,-313000000,-594000000,537000000,-3000000,-815000000,1123000000,-724000000,,,-8753000000,-1903000000,-161000000,-10418000000,MA,Mastercard Inc,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,10465000000,,,10892000000,11195000000,799000000,-236000000,460000000,1644000000,-717000000,-99000000,1244000000,14290000000,-371000000,,0,-736000000,479000000,-6000000,-634000000,1554000000,0,,,-9032000000,-2158000000,-89000000,-9725000000,MA,Mastercard Inc,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,4364000000,,,-2614000000,-23251000000,46009000000,-8856000000,,2211000000,5384000000,,105000000,21602000000,-17282000000,,999000000.0,-4857000000,,3680000000,-17460000000,23186000000,-38441000000,-3037000000,,-405000000,-14865000000,414000000,-33148000000,XOM,Exxon Mobil Corp,USD,NYSE,XNYS,America/New_York,Annual
2021-12-31,6802000000,,,36053000000,23598000000,20607000000,303000000,,-677000000,-12098000000,,-560000000,31173000000,-12076000000,,,-2817000000,,4658000000,-10235000000,46000000,-32387000000,-19692000000,,-155000000,-14924000000,-690000000,-67802000000,XOM,Exxon Mobil Corp,USD,NYSE,XNYS,America/New_York,Annual
2022-12-31,29665000000,,,58390000000,57577000000,24040000000,3758000000,,-1025000000,-11019000000,,-7635000000,65696000000,-18407000000,,,-3090000000,,6755000000,-14742000000,637000000,-8080000000,-7852000000,,-15155000000,-14939000000,-1800000000,-47189000000,XOM,Exxon Mobil Corp,USD,NYSE,XNYS,America/New_York,Annual
2023-12-31,31568000000,,,33450000000,37354000000,20641000000,634000000,,1897000000,4370000000,,-3898000000,60998000000,-21919000000,,,-2995000000,,5640000000,-19274000000,939000000,-1178000000,-1163000000,,-17748000000,-14941000000,-1369000000,-35460000000,XOM,Exxon Mobil Corp,USD,NYSE,XNYS,America/New_York,Annual
2020-12-31,6049400000,650200000,64100000,3626800000,3553700000,490800000,-211300000,53900000,,-617900000,334300000,767700000,4371200000,-962000000,-38800000,-222800000,-1475500000,1359100000,-12200000,-1313400000,1486300000,-3300000,,37900000,-1207500000,-1066400000,,-753000000,ASML,ASML Holding NV,EUR,NASDAQ,XNGS,America/New_York,Annual
2021-12-31,6951800000,1235000000,83000000,9905500000,5883200000,471000000,-419600000,117500000,,-1212600000,718600000,5038800000,10596900000,-900700000,-39600000,329000000,-1162700000,1826400000,-124400000,-32400000,0,-12100000,,49000000,-8560300000,-1368300000,,-9891700000,ASML,ASML Holding NV,EUR,NASDAQ,XNGS,America/New_York,Annual
2022-12-31,7268300000,1734600000,82200000,7167500000,5624200000,583600000,-564200000,68900000,,-2125800000,406200000,3721100000,7714000000,-1281800000,-37500000,0,-334300000,864700000,-240000000,-991400000,495600000,-516200000,,81800000,-4639700000,-2559800000,,-7138300000,ASML,ASML Holding NV,EUR,NASDAQ,XNGS,America/New_York,Annual
2023-12-31,7004700000,2568300000,137800000,3247200000,7839000000,739800000,-133600000,134800000,,871300000,-261700000,-4495200000,4694400000,-2155600000,-40600000,-33600000,-23600000,125600000,-561500000,-2648700000,997800000,-752800000,,99400000,-1000000000,-2348300000,,-3003900000,ASML,ASML Holding NV,EUR,NASDAQ,XNGS,America/New_York,Annual
2020-12-31,13985000000,4619000000,904000000,20189000000,14714000000,7231000000,-1141000000,1005000000,-1148000000.0,774000000,,-3225000000,18210000000,-3347000000,,-7323000000,-21089000000,12137000000,-1203000000,-20825000000,7431000000,-3727000000,728000000,,-3221000000,-10481000000,-627000000,-9897000000,JNJ,Johnson & Johnson,USD,NYSE,XNYS,America/New_York,Annual
